,Minute,gplus_h,gplus_a
0,1,-0.000756591546,
1,2,0.112963416353,0.008809982168
2,3,0.01209417531,-0.0031880736712000014
3,4,-0.0032393597518,0.0028993755209999993
4,5,0.00010808928259999854,0.001302429249
5,6,0.015913850893,-0.011490079862999993
6,7,0.011984944616,0.0008173269456
7,8,0.030321168405499997,0.0055368838
8,9,0.33000015726,-0.2361425984
9,10,0.06053662246,0.007145167548500003
10,11,0.00828856151,0.010776758
11,12,0.08257499702369,
12,13,-0.0017788112,0.01170664977
13,14,0.005715548974899998,-0.0034077900539999997
14,15,0.11341095290599999,0.01647383517129999
15,16,0.015362322632700001,
16,17,0.007666642184,0.026134729455
17,18,0.021336287103,0.0013164180000000006
18,19,0.2305134664436,0.0065343614000000026
19,20,-4.8632906999999904e-05,0.00408159696997
20,21,0.0126224460366,0.0100366459745
21,22,0.004767013204099998,0.0272947166
22,23,0.096683445497,0.053724321889
23,24,0.005026083295,0.0041166023409999995
24,25,0.00023895502,0.013715475784999999
25,26,0.052117884,0.015430746723199999
26,27,-0.005380153999999999,0.01873751455
27,28,0.0064037443,0.118366734231
28,29,-0.0010148553254500001,-0.0026619733999999995
29,30,0.0147483106,9.341432700000043e-05
30,31,0.0036256442895,
31,32,-0.004297511780000001,-0.00937643944
32,33,0.0363285281,-0.0001458224154999993
33,34,-0.0045185389889999955,0.018097331632000002
34,35,0.114644288337,0.066177187214
35,37,0.003918290480499999,-0.0024646419984999998
36,38,0.0112015611251,
37,39,0.007433515528000001,0.04005768161
38,40,,-0.007609116
39,44,0.020328908449,-0.0117564798
40,45,0.010102862300000001,0.057532964929
41,46,0.042925446939,0.139481382901
42,47,0.0251883199826,0.021316052
43,48,-0.038185549993,0.0024897
44,49,0.049803226900000004,-0.031566267669
45,50,,-0.00273877386
46,51,0.0028097928,0.008336096974500001
47,52,0.1031271784916,0.02762264552619999
48,53,-0.00558140749254,0.0049042106
49,54,0.005253141200000001,0.0088887216485
50,55,0.0284581175435,-0.01999133684
51,56,0.010118239273600001,0.0010806603299999993
52,57,,0.0315762887421
53,58,0.0016013594999999999,0.014855575203999999
54,59,0.012261401464699994,-0.008695780795999999
55,60,0.011210851035000002,0.034740778480000005
56,61,0.14150159443,0.068290546765
57,62,-0.0073129832229,
58,63,0.011447351179,-0.0035326863940999993
59,64,-0.01819473557,0.0199806429644
60,65,0.0020288824327,0.027632406913000004
61,66,0.011554535522000002,0.008429974
62,67,-0.0014920235,0.0014920235
63,68,-0.007604794181400001,0.008221644
64,69,0.016056634690000002,-0.007443061010700001
65,70,0.01891962431,0.0040905067
66,71,0.036471004983,6.955736020000029e-05
67,72,-0.004560029019999999,0.03453230912986
68,73,,0.070326497034
69,74,0.005817920135999999,0.0059137195
70,75,0.013019418939999998,0.028064157638
71,76,0.012077948357,0.106308838783
72,78,0.0068904459090000005,
73,79,0.0006066444517999997,0.004159947725000002
74,80,0.0508324122621,-0.3602996291
75,81,0.0820851378,-0.0162547452026
76,82,0.032419890144,-0.005428922710000001
77,83,0.102317581461,0.0204724972
78,84,-0.0244362947,0.050621985795
79,86,0.0141481163,0.024631888
80,87,0.127918720854,0.2471305378
81,88,0.0104166867,0.013570887220000001
82,89,0.0257894570917,-0.0053026974
83,90,-0.006801211349999999,0.0036515892
84,91,0.00428478940474,0.0010282414100000001
85,92,0.0841982727,-0.037669898
86,93,0.14172235038,0.1234808268
87,94,0.0306462708,-0.0322069289
88,95,-0.0284007791,
89,96,0.015139618649999999,0.01183054536
90,97,0.096616261064,0.0581741356
91,98,-0.0017474732521499982,0.022470366
92,99,-0.0067419099879999994,-0.014071270819999999
93,100,0.014983275339000002,0.0031167859039999994
94,101,0.1389774695,-0.0018020298400000046
95,102,0.047834826568,0.10897812200000001
96,103,0.03645231642,0.0009800791
