,x,y,xG,type,h_a,Blocked
0,86.2,39.7,0.10645949840545654,miss,h,
1,81.6,50.9,0.07991847395896912,attempt_saved,h,
2,92.6,65.8,0.22208921611309052,miss,h,
3,87.9,56.6,0.12264327704906464,miss,h,
4,90.5,31.0,0.05210912227630615,attempt_saved,h,True
5,93.4,56.1,0.26451799273490906,miss,h,
6,84.6,69.1,0.03033820539712906,attempt_saved,h,
7,90.8,56.7,0.03567662462592125,attempt_saved,a,
8,67.2,59.0,0.016206953674554825,miss,h,
9,87.7,54.4,0.08831784874200821,goal,h,
10,2.4,52.0,,goal,h,
11,96.7,60.6,0.09215559810400009,attempt_saved,a,True
12,85.7,56.6,0.061562806367874146,attempt_saved,h,True
13,76.1,53.6,0.05083328112959862,goal,a,
14,85.7,30.6,0.05579070374369621,miss,a,
15,94.4,59.9,0.04453137889504433,miss,h,
16,84.8,54.9,0.20894907414913177,goal,a,
17,84.2,48.5,0.2515908181667328,miss,a,
18,96.3,52.7,0.2682090699672699,miss,h,
19,85.4,68.5,0.03932776302099228,goal,h,
20,87.7,50.3,0.20380085706710815,miss,h,
21,78.7,32.5,0.013080156408250332,attempt_saved,a,True
22,90.2,54.3,0.060715775936841965,attempt_saved,a,
23,86.1,60.8,0.09821426123380661,attempt_saved,a,True
24,85.5,57.0,0.01570054702460766,miss,a,
25,84.6,61.5,0.10736972838640213,attempt_saved,h,True
26,92.0,59.7,0.05998055636882782,attempt_saved,h,True
27,78.2,67.0,0.013702399097383022,attempt_saved,h,True
28,84.2,47.0,0.05251305177807808,attempt_saved,h,True
29,80.3,29.8,0.01885783113539219,attempt_saved,h,
